Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
4f0f6c89-d288-4534-8ec8-86cc631172cd,2018-07-20 06:35:59,Running,,2.83,23:59,8:28,7.09,339.0,52,,"","",2018-07-20-063559.gpx
22d2621d-0996-480f-8a91-830a31babdd2,2018-07-19 07:00:28,Running,,2.79,22:54,8:12,7.32,338.0,51,,"","",2018-07-19-070028.gpx
0029157c-893f-419b-8c52-dbaef57a3f3e,2018-07-18 06:28:44,Running,,2.78,21:42,7:48,7.69,333.0,51,,"","",2018-07-18-062844.gpx
107f75b4-3548-4349-9e74-cfe15c38ff23,2018-07-16 18:56:24,Running,,2.84,25:08,8:51,6.78,339.0,50,,"","",2018-07-16-185624.gpx
574e823a-5f5f-4692-a857-1fed02358ce6,2018-07-11 06:40:26,Running,,2.77,24:08,8:43,6.88,350.0,167,,"","",2018-07-11-064026.gpx
39f47bed-922f-4175-91c6-f6dda8ae0334,2018-07-08 06:44:03,Running,,2.95,22:52,7:45,7.74,352.0,51,,"","",2018-07-08-064403.gpx
d875b7d1-0cb5-4a48-aa07-012cbd15779c,2018-07-07 07:37:36,Running,,2.96,24:28,8:16,7.25,355.0,52,,"","",2018-07-07-073736.gpx
4fdeb43d-b72b-4ad6-afce-bca795cdc2cd,2018-07-05 06:45:15,Running,,2.51,22:45,9:04,6.61,305.0,56,,"","",2018-07-05-064515.gpx
fc181808-187d-47e6-8f3c-5473a81946d7,2018-07-04 11:46:46,Running,,2.52,21:25,8:30,7.06,302.0,56,,"","",2018-07-04-114646.gpx
ae38311b-acc7-4ebf-9837-2d45e6c17a2c,2018-07-03 05:53:34,Running,,3.02,24:51,8:13,7.30,361.0,51,,"","",2018-07-03-055334.gpx
73f007fc-a2c8-45e0-9627-b10d4eaf8516,2018-07-02 07:04:02,Running,,2.76,22:43,8:14,7.28,332.0,46,,"","",2018-07-02-070402.gpx
05d4bd69-51f8-44e3-a488-f9435c472637,2018-06-29 05:49:24,Running,,2.97,24:59,8:25,7.13,358.0,60,,"","",2018-06-29-054924.gpx
634fd62b-d2eb-48c2-a62b-e541e2e90db7,2018-06-28 06:45:37,Running,,2.60,22:21,8:35,6.99,314.0,59,,"","",2018-06-28-064537.gpx
fd2914e0-cc49-431d-935a-babef69b9569,2018-06-27 06:29:00,Running,,2.83,23:35,8:20,7.20,341.0,49,,"","",2018-06-27-062900.gpx
45f7dd56-145d-4b16-bafc-4363b080c698,2018-06-26 06:41:19,Running,,2.64,1:24:27,31:56,1.88,377.0,57,,"","",2018-06-26-064119.gpx
5674647f-78e9-48c1-b179-7ba021e41459,2018-06-25 06:33:30,Running,,2.60,22:51,8:47,6.83,312.0,58,,"","",2018-06-25-063330.gpx
9bb1008b-c41b-428d-9529-20f471f5942a,2018-06-24 08:36:43,Running,,2.57,1:24:35,32:52,1.83,388.0,56,,"","",2018-06-24-083643.gpx
